Tipo de Evento,Campus,Asistentes,Asistentes convertidos,Efectividad
Landing Escuelas Vinculadas,Campus Zacatecas,58,44,75.86
Taller Academico,Campus Eugenio Garza Sada,11,6,54.55
Open House,Campus Sonora Norte,85,39,45.88
Taller Academico,Campus Morelia,96,42,43.75
Taller Academico,Campus Sonora Norte,23,10,43.48
Open House,Campus Irapuato,140,56,40
Open House,Campus Santa Catarina,451,151,33.48
Open House,Campus Valle Alto,313,101,32.27
Taller Academico,Campus Cuernavaca,315,97,30.79
Open House,Campus Eugenio Garza Sada,373,113,30.29
Sesion Informativa,Campus Santa Catarina,1039,311,29.93
Dia D,Campus Saltillo,27,8,29.63
Sesion Informativa,Campus Sinaloa,1251,352,28.14
Open House,Campus Ciudad Juarez,174,47,27.01
Sesion Informativa,Campus Valle Alto,797,202,25.35
Taller Academico,Campus Laguna,16,4,25
Sesion Informativa,Campus Cumbres,666,166,24.92
Sesion Informativa,Campus Eugenio Garza Laguera,1115,277,24.84
Sesion Informativa,Campus Sonora Norte,194,48,24.74
Vivencia Tec,Campus Estado de Mexico,154,38,24.68
Open House,Campus Eugenio Garza Laguera,692,163,23.55
Sesion Informativa,Campus Ciudad Obregon,636,145,22.8
Sesion Informativa,Campus Chiapas,148,33,22.3
Taller Academico,Campus San Luis Potosi,41,9,21.95
Dia D,Campus Cuernavaca,37,8,21.62
Sesion Informativa,Campus Eugenio Garza Sada,594,128,21.55
Sesion Informativa,Campus Morelia,42,9,21.43
Landing Escuelas Vinculadas,Campus Guadalajara,410,87,21.22
Dia D,Campus Monterrey,220,46,20.91
Sesion Informativa,Campus Estado de Mexico,9887,2005,20.28
Open House,Campus Sinaloa,629,127,20.19
Open House,Campus Queretaro,501,101,20.16
Sesion Informativa,Campus Queretaro,1553,294,18.93
Open House,Campus San Luis Potosi,243,45,18.52
Open House,Campus Cumbres,472,87,18.43
Sesion Informativa,Campus Cuernavaca,1582,286,18.08
Sesion Informativa,Campus Irapuato,40,7,17.5
Taller Academico,Campus Aguascalientes,41,7,17.07
Open House,Campus Ciudad de Mexico,575,97,16.87
Vivencia Tec,Campus Guadalajara,56,9,16.07
Sesion Informativa,Campus Guadalajara,6035,964,15.97
Sesion Informativa,Campus Toluca,3696,582,15.75
Sesion Informativa,Campus Chihuahua,1145,180,15.72
Landing Escuelas Vinculadas,Campus Ciudad de Mexico,729,114,15.64
Sesion Informativa,Campus Santa Fe,4601,712,15.47
Open House,Campus Santa Fe,897,136,15.16
Visita al Campus,Campus Saltillo,33,5,15.15
Sesion Informativa,Campus Aguascalientes,599,89,14.86
Taller Academico,Campus Monterrey,321,47,14.64
Sesion Informativa,Campus Leon,1716,250,14.57
Sesion Informativa,Campus Tampico,857,123,14.35
Taller Academico,Campus Eugenio Garza Laguera,49,7,14.29
Sesion Informativa,Campus Ciudad de Mexico,11241,1600,14.23
Taller Academico,Campus Queretaro,254,35,13.78
Open House,Campus Guadalajara,2121,288,13.58
