Fecha de inicio,Contacto: Id. de contacto,Tipo de Evento,ID del Evento,Experiencia General,Duracion,Calidad de Alimentos,Interaccion con exalumnos,Interaccion con profesores
44265,0034100002Q8VMJ,Tec 360,EVN-0205033,4,4,4,4,4
44119,0034100000yj366,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000019HV98,Tec 360,EVN-0192863,5,4,4,5,4
44265,0034100002Q4R34,Tec 360,EVN-0205033,5,4,4,5,3
44265,0034100002Q5N9J,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SZTYj,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q8JKO,Tec 360,EVN-0205033,5,4,4,4,4
44265,0034100002Q8JHy,Tec 360,EVN-0205033,5,4,4,5,4
44119,00341000015LXPJ,Tec 360,EVN-0192863,5,4,4,5,5
44265,0034100002SZOHJ,Tec 360,EVN-0205033,4,4,4,4,3
44265,0034100002SYz8s,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002NFfQh,Tec 360,EVN-0205033,4,4,5,5,4
44265,0034100002SYPmU,Tec 360,EVN-0205033,4,4,3,4,4
44265,0034100002XF51c,Tec 360,EVN-0205033,4,4,4,5,5
44265,0034100002SXSiY,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q4R2u,Tec 360,EVN-0205033,5,4,5,4,4
44265,0034100002SZUIX,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002SYEtI,Tec 360,EVN-0205033,5,4,4,5,5
44265,0034100002Q7kye,Tec 360,EVN-0205033,5,4,4,5,4
44119,0034100000zgUPZ,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001ON5cE,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001BFFIK,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001L0wWp,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001kBWX4,Tec 360,EVN-0192863,4,4,4,4,5
44119,003410000157RO7,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001FdYUM,Tec 360,EVN-0192863,4,4,4,5,5
44119,003410000157TFp,Tec 360,EVN-0192863,5,4,4,4,5
44119,003410000157QO1,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FeHnd,Tec 360,EVN-0192863,4,4,5,5,5
44119,0034100001BDx4n,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001JtZwf,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001MowWi,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000zgUFt,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001FeIC9,Tec 360,EVN-0192863,4,4,4,5,4
44119,00341000012hK3b,Tec 360,EVN-0192863,4,4,4,5,4
44119,003410000157Qes,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001BEWI2,Tec 360,EVN-0192863,4,4,5,5,4
44119,0034100001J6kSZ,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001JrY4b,Tec 360,EVN-0192863,5,4,4,4,4
44119,003410000157RY2,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000zfHID,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001BDDGe,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001Cl6gc,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001FeHsb,Tec 360,EVN-0192863,5,4,4,4,4
44119,003410000157Sah,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FdIzN,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001mnAj4,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001FbGU2,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001QF0pp,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001gJxSy,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000019HajT,Tec 360,EVN-0192863,5,4,4,4,4
44119,003410000157PlW,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001BDM7c,Tec 360,EVN-0192863,4,4,4,4,5
44119,0034100001AVo8C,Tec 360,EVN-0192863,4,4,4,5,4
44119,00341000022rstp,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001eDrOI,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001eBkDe,Tec 360,EVN-0192863,4,4,4,4,5
44119,003410000157TWP,Tec 360,EVN-0192863,4,4,4,4,4
44119,003410000157S9Z,Tec 360,EVN-0192863,4,4,4,4,5
44119,00341000012fuo1,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001ONZYX,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001i1Uf6,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001AUSeZ,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000012gDwH,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001CoIuE,Tec 360,EVN-0192863,5,4,4,4,5
44119,003410000157RiY,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001Nqkzg,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001L2a2P,Tec 360,EVN-0192863,5,4,4,4,5
44119,00341000015Jq6J,Tec 360,EVN-0192863,4,4,4,5,4
44265,0034100002Q8VME,Tec 360,EVN-0205033,5,4,4,4,4
44265,0033f000002VI8x,Tec 360,EVN-0205033,5,4,4,4,5
44265,0034100002UFbtM,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SYoE9,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002XBVZZ,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q4voB,Tec 360,EVN-0205033,5,4,4,4,4
44265,0034100002XsXFu,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002SYPpE,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Q75qW,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002UDquA,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SVmNR,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002Q7lGE,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SVYJu,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q7lBO,Tec 360,EVN-0205033,4,4,5,4,4
44265,0034100002SVfAz,Tec 360,EVN-0205033,5,4,5,5,4
44265,0034100002Q86C6,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002SXSc2,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Q85LT,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002SXSbi,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q8JKE,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002SWt34,Tec 360,EVN-0205033,5,4,4,4,4
44265,0034100002UCqdX,Tec 360,EVN-0205033,5,4,4,4,4
44265,0034100002Q7THT,Tec 360,EVN-0205033,5,4,4,4,4
44265,0034100002SXw0W,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q6vbQ,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Q7MTn,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SXSu0,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Q8JK4,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q8VL1,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002Q85FL,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q4WLb,Tec 360,EVN-0205033,5,4,4,4,5
44265,0034100002SXAZX,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002UEZ7P,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002UDhiI,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Q75ho,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Xthvk,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SVmE0,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002XCYLC,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002Q85CC,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002UCuUs,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002WKnNR,Tec 360,EVN-0205033,4,4,4,5,5
44265,0034100002Q855f,Tec 360,EVN-0205033,4,4,4,5,4
44265,0032M00002bt6Td,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002SYPo6,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002XCDax,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002OgupG,Tec 360,EVN-0205033,4,4,4,4,4
